Top surface indices (Z: 4.837 to 5.337)
Total count: 253

Index	X	Y	Z
1159	-3.354088	64.392509	5.337417
1160	-3.354088	69.238841	5.337417
1161	-3.354088	25.621847	5.337417
1162	-3.354088	40.160845	5.337417
1163	-3.354088	45.007178	5.337417
1164	-3.354088	49.853511	5.337417
1165	-3.354088	54.699843	5.337417
1166	-3.354088	59.546176	5.337417
1167	-3.354088	11.082849	5.337417
1168	-3.354088	15.929182	5.337417
1169	-3.354088	20.775514	5.337417
1170	-3.354088	30.468180	5.337417
1171	-3.354088	35.314513	5.337417
1172	-3.354088	6.236516	5.337417
1173	-3.354088	-8.302482	5.337417
1174	-3.354088	1.390184	5.337417
1175	-3.354088	-13.148814	5.337417
1176	-3.354088	-3.456149	5.337417
1178	-3.354088	-17.542042	4.992657
1305	0.032775	73.120896	4.867601
1308	-0.020754	64.392509	5.337417
1309	-0.020754	69.238841	5.337417
1310	-0.020754	20.775514	5.337417
1311	-0.020754	25.621847	5.337417
1312	-0.020754	40.160845	5.337417
1313	-0.020754	45.007178	5.337417
1314	-0.020754	49.853511	5.337417
1315	-0.020754	54.699843	5.337417
1316	-0.020754	59.546176	5.337417
1317	-0.020754	11.082849	5.337417
1318	-0.020754	15.929182	5.337417
1319	-0.020754	30.468180	5.337417
1320	-0.020754	35.314513	5.337417
1321	-0.020754	6.236516	5.337417
1322	-0.020754	-8.302482	5.337417
1323	-0.020754	-13.148814	5.337417
1324	-0.020754	1.390184	5.337417
1325	-0.020754	-3.456149	5.337417
1327	-0.020754	-17.542042	4.992657
1453	3.366108	73.120896	4.867601
1456	3.312579	69.238841	5.337417
1457	3.312579	20.775514	5.337417
1458	3.312579	25.621847	5.337417
1459	3.312579	40.160845	5.337417
1460	3.312579	45.007178	5.337417
1461	3.312579	59.546176	5.337417
1462	3.312579	11.082849	5.337417
1463	3.312579	15.929182	5.337417
1464	3.312579	30.468180	5.337417
1465	3.312579	35.314513	5.337417
1466	3.312579	49.853511	5.337417
1467	3.312579	54.699843	5.337417
1468	3.312579	6.236516	5.337417
1469	3.312579	-8.302482	5.337417
1470	3.312579	1.390184	5.337417
1471	3.312579	-13.148814	5.337417
1472	3.312579	64.392509	5.337417
1473	3.312579	-3.456149	5.337417
1475	3.312579	-17.542042	4.992657
1601	6.631942	73.107305	4.877298
1604	6.645912	64.392509	5.337417
1605	6.645912	69.238841	5.337417
1606	6.645912	25.621847	5.337417
1607	6.645912	49.853511	5.337417
1608	6.645912	54.699843	5.337417
1609	6.645912	59.546176	5.337417
1610	6.645912	11.082849	5.337417
1611	6.645912	15.929182	5.337417
1612	6.645912	20.775514	5.337417
1613	6.645912	30.468180	5.337417
1614	6.645912	35.314513	5.337417
1615	6.645912	40.160845	5.337417
1616	6.645912	45.007178	5.337417
1617	6.645912	6.236516	5.337417
1618	6.645912	-13.148814	5.337417
1619	6.645912	-8.302482	5.337417
1620	6.645912	1.390184	5.337417
1621	6.645912	-3.456149	5.337417
1623	6.645912	-17.542042	4.992657
1748	9.931274	73.090415	4.889161
1751	9.979246	69.238841	5.337417
1752	9.979246	20.775514	5.337417
1753	9.979246	15.929182	5.337417
1754	9.979246	30.468180	5.337417
1755	9.979246	25.621847	5.337417
1756	9.979246	35.314513	5.337417
1757	9.979246	40.160845	5.337417
1758	9.979246	45.007178	5.337417
1759	9.979246	64.392509	5.337417
1760	9.979246	11.082849	5.337417
1761	9.979246	6.236516	5.337417
1762	9.979246	-13.148814	5.337417
1763	9.979246	-8.302482	5.337417
1764	9.979246	49.853511	5.337417
1765	9.979246	54.699843	5.337417
1766	9.979246	59.546176	5.337417
1767	9.979246	-3.456149	5.337417
1768	9.979246	1.390184	5.337417
1769	9.979246	-17.542042	4.992657
